name,version,group,internal,resolvedLicense.licenseId,lastInheritedRiskScore,metrics.vulnerabilities
fs-constants,1.0.0,,,MIT,0,0
fs-minipass,3.0.3,,,ISC,0,0
fs-minipass,2.1.0,,,ISC,0,0
fs.scandir,2.1.5,@nodelib,,MIT,0,0
fs.stat,2.0.5,@nodelib,,MIT,0,0
fs.walk,1.2.8,@nodelib,,MIT,0,0
gen-mapping,0.3.8,@jridgewell,,MIT,0,0
generator,7.27.0,@babel,,MIT,0,0
gensync,1.0.0-beta.2,,,MIT,0,0
github-from-package,0.0.0,,,MIT,0,0
glob,10.4.5,,,ISC,0,0
glob-parent,6.0.2,,,ISC,0,0
glob-parent,5.1.2,,,ISC,0,0
globals,15.15.0,,,MIT,0,0
globals,14.0.0,,,MIT,0,0
globals,11.12.0,,,MIT,0,0
graceful-fs,4.2.11,,,ISC,0,0
graphemer,1.4.0,,,MIT,0,0
has-flag,4.0.0,,,MIT,0,0
helper-compilation-targets,7.27.0,@babel,,MIT,0,0
helper-module-imports,7.25.9,@babel,,MIT,0,0
helper-module-transforms,7.26.0,@babel,,MIT,0,0
helper-plugin-utils,7.26.5,@babel,,MIT,0,0
helper-string-parser,7.25.9,@babel,,MIT,0,0
helper-validator-identifier,7.25.9,@babel,,MIT,0,0
helper-validator-option,7.25.9,@babel,,MIT,0,0
helpers,7.27.0,@babel,,MIT,0,0
hosted-git-info,8.1.0,,,ISC,0,0
http-cache-semantics,4.1.1,,,BSD-2-Clause,0,0
http-proxy-agent,7.0.2,,,MIT,0,0
https-proxy-agent,7.0.6,,,MIT,0,0
iconv-lite,0.6.3,,,MIT,0,0
ieee754,1.2.1,,,BSD-3-Clause,0,0
ignore,5.3.2,,,MIT,0,0
import-fresh,3.3.1,,,MIT,0,0
imurmurhash,0.1.4,,,MIT,0,0
indent-string,4.0.0,,,MIT,0,0
infra,1.0.8,@oozcitak,,MIT,0,0
inherits,2.0.4,,,ISC,0,0
ini,1.3.8,,,ISC,0,0
internmap,2.0.3,,,ISC,0,0
ip-address,9.0.5,,,MIT,0,0
is-extglob,2.1.1,,,MIT,0,0
is-fullwidth-code-point,3.0.0,,,MIT,0,0
is-glob,4.0.3,,,MIT,0,0
is-lambda,1.0.1,,,MIT,0,0
is-number,7.0.0,,,MIT,0,0
